cow_id,early_hit,late_hit,eligible_updates,background_alerts,background_observed_hours,first_early_lead_delivery_hours,first_early_lead_hoof_hours
21314,True,False,5,4,21.23721666666667,1.0415497222222223,0.7204386111111111
22146,False,False,1,0,0,,
22225,True,False,6,3,38.612472222222216,0.22614472222222223,0.09447805555555555
22281,True,False,6,0,5.791844444444444,1.476611111111111,1.193
23060,True,False,4,2,44.017927777777764,2.827778888888889,2.7233344444444443
23077,True,False,5,3,12.550927777777778,4.086689444444445,3.7241894444444443
23103,True,False,5,2,15.445094444444443,2.9807244444444443,2.8382244444444447
23132,False,False,1,0,0,,
23158,True,False,5,4,78.1909,3.3104822222222223,2.9752044444444445
23263,True,False,4,0,1.9264444444444444,3.499115833333333,2.6591158333333333
